Year,Region2,Crop,Region1,Area harvested,Area planted,Production,Yield
2003,ottawa,soybeans,oh,51900.0,52000.0,1865900.0,36.0
2003,otter tail,soybeans,mn,141700.0,142500.0,4251000.0,30.0
2003,owen,soybeans,in,15200.0,17400.0,515800.0,33.9
2003,page,soybeans,ia,104600.0,105000.0,3144000.0,30.1
2003,palo alto,soybeans,ia,139400.0,140000.0,4649000.0,33.4
2003,parke,soybeans,in,60900.0,61500.0,2345400.0,38.5
2003,paulding,soybeans,oh,100900.0,101200.0,3682100.0,36.5
2003,pawnee,soybeans,ks,16800.0,17100.0,768000.0,46.0
2003,pawnee,soybeans,ne,40600.0,41000.0,1272400.0,31.3
2003,pembina,soybeans,nd,71500.0,72000.0,2260000.0,31.6
2003,pemiscot,soybeans,mo,118900.0,119400.0,4650000.0,39.1
2003,pennington,soybeans,mn,84800.0,85100.0,2289600.0,27.0
2003,pennington,soybeans,sd,2100.0,2200.0,6000.0,2.9
2003,peoria,soybeans,il,85900.0,86000.0,3350100.0,39.0
2003,perkins,soybeans,ne,10300.0,11000.0,520000.0,50.5
2003,perry,soybeans,ar,3000.0,3000.0,112000.0,37.0
2003,perry,soybeans,il,90900.0,91000.0,2454300.0,27.0
2003,perry,soybeans,in,8900.0,9300.0,354600.0,39.8
2003,perry,soybeans,mo,38700.0,38800.0,1243000.0,32.1
2003,perry,soybeans,oh,11000.0,11100.0,362800.0,33.0
2003,pettis,soybeans,mo,85800.0,86500.0,1817000.0,21.2
2003,phelps,soybeans,ne,95600.0,96000.0,5634200.0,58.9
